"id";"requisito";"criterio";"fuenteP14";"comprobacionAstra";"revision";"pruebaBackend";"pruebaFrontend"
"RF05-C02";"RF-05";"Mecánico consume solo repuestos activos, disponibles y compatibles en orden autorizada";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"spare-part.test.ts, work-order.test.ts";"WorkOrders.test.tsx"
"RF05-C03";"RF-05";"Compatibilidad considera código, parte, modelo, dimensiones, especificaciones y excepciones";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"spare-part.test.ts";"SpareParts.test.tsx"
"RF05-C04";"RF-05";"Backend bloquea consumo incompatible o sin existencia";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"spare-part.test.ts, p12-concurrency.test.ts";"WorkOrders.test.tsx"
"RF05-C05";"RF-05";"Excepción de compatibilidad registra responsable y motivo";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"spare-part.test.ts, work-order.test.ts";"WorkOrders.test.tsx"
"RF05-C06";"RF-05";"Cada consumo genera movimiento y actualiza existencia trazablemente";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"spare-part.test.ts, idempotency.test.ts, p12-concurrency.test.ts";"WorkOrders.test.tsx"
"RF06-C01";"RF-06";"Administrador consulta información completa y costos";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-04/05: E2E filtro y carreras frontend";"report.test.ts, work-order.test.ts";"History.test.tsx"
"RF06-C02";"RF-06";"Despachador consulta operación sin diagnósticos ni costos";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-04/05: E2E filtro y carreras frontend";"report.test.ts, p12-security.test.ts";"History.test.tsx"
"RF06-C03";"RF-06";"Mecánico consulta antecedentes técnicos necesarios";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-04/05: E2E filtro y carreras frontend";"report.test.ts";"History.test.tsx"
"RF06-C04";"RF-06";"Conductor consulta solo jornada, bus, novedades y alertas propias";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-04/05: E2E filtro y carreras frontend";"report.test.ts, p12-security.test.ts";"History.test.tsx"
"RF06-C05";"RF-06";"Los informes se derivan y no modifican historial";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-04/05: E2E filtro y carreras frontend";"report.test.ts";"History.test.tsx"
"RF06-C06";"RF-06";"El sistema reconstruye la cadena operativa y técnica completa";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-04/05: E2E filtro y carreras frontend";"report.test.ts";"History.test.tsx"
"RNF01-C01";"RNF-01";"Autenticación, sesión y contraseñas seguras";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"auth.test.ts, p12-security.test.ts";"App.test.tsx"
"RNF01-C02";"RNF-01";"CSRF, CORS, cookies y errores 401/403";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"p12-security.test.ts, auth.test.ts";"App.test.tsx"
"RNF01-C03";"RNF-01";"Autorización por rol, propiedad y privacidad de campos";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"p12-security.test.ts y suites de dominio";"Suites de feature"
"RNF01-C04";"RNF-01";"Validación de entradas, integridad y auditoría";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"prisma-integrity.test.ts, p12-security.test.ts, observability.test.ts";"Suites de feature"
"RNF01-C05";"RNF-01";"Secretos fuera de código y exposición controlada";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"p12:audit";"No aplica"
"RNF02-C01";"RNF-02";"Navegación clara y terminología consistente";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"No aplica";"App.test.tsx y suites de feature"
"RNF02-C02";"RNF-02";"Vistas adaptables 390, 1024 y 1440";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"No aplica";"Accessibility.test.tsx y suites de feature"
"RNF02-C03";"RNF-02";"Teclado, foco y estados carga/error/vacío";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"No aplica";"Accessibility.test.tsx y suites de feature"
"RNF03-C01";"RNF-03";"95 % de operaciones habituales aproximadamente en máximo 3 s bajo prueba";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01; p95 informes 179.97 ms en 20 muestras locales";"p12-performance.test.ts";"No aplica"
"RNF03-C02";"RNF-03";"Producción disponible durante validación";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01; p95 informes 179.97 ms en 20 muestras locales";"health.test.ts";"No aplica"
"RNF04-C01";"RNF-04";"Separación modular frontend, backend y persistencia";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-03/06; survey y docs locales";"175 pruebas backend";"74 pruebas frontend"
"RNF04-C02";"RNF-04";"Configuración reproducible y credenciales fuera de código";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-03/06; survey y docs locales";"p12:audit";"No aplica"
"RNF05-C01";"RNF-05";"Alertas se muestran dentro del sistema";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"alerts.test.ts";"AlertsPage.test.tsx"
"RNF05-C02";"RNF-05";"Cada alerta conserva destinatario, prioridad, fecha, estado y origen";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"alerts.test.ts, prisma-integrity.test.ts";"AlertsPage.test.tsx"
"RNF05-C03";"RNF-05";"Cada rol solo visualiza alertas acordes a sus permisos";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"alerts.test.ts, p12-security.test.ts";"AlertsPage.test.tsx"
"RNF05-C04";"RNF-05";"Lectura y atención son trazables e idempotentes";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"alerts.test.ts, idempotency.test.ts";"AlertsPage.test.tsx"
"RNF05-C05";"RNF-05";"Deduplicación y concurrencia evitan alertas duplicadas";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"alerts.test.ts, p12-concurrency.test.ts";"AlertsPage.test.tsx"
